step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,0,0,0,0.0,0.0,0,0,-0.0
1,0,0,0,0,0.0,0.0,0,0,-0.0
2,0,0,0,0,0.0,0.0,0,0,-0.0
3,0,0,0,0,0.0,0.0,0,0,-0.0
4,0,0,0,0,0.0,0.0,0,0,-0.0
5,0,0,0,0,0.0,0.0,0,0,-0.0
6,0,0,0,0,0.0,0.0,0,0,-0.0
7,0,0,0,0,0.0,0.0,0,0,-0.0
8,0,0,0,0,0.0,0.0,0,0,-0.0
9,0,0,0,0,0.0,0.0,0,0,-0.0
10,0,0,0,0,0.0,0.0,0,0,-0.0
11,0,0,0,0,0.0,0.0,0,0,-0.0
12,0,0,0,0,0.0,0.0,0,0,-0.0
13,0,0,0,0,0.0,0.0,0,0,-0.0
14,0,0,0,0,0.0,0.0,0,0,-0.0
15,0,0,0,0,0.0,0.0,0,0,-0.0
16,0,0,0,0,0.0,0.0,0,0,-0.0
17,0,0,0,0,0.0,0.0,0,0,-0.0
18,0,0,0,0,0.0,0.0,0,0,-0.0
19,0,0,0,0,0.0,0.0,0,0,-0.0
20,0,0,0,0,0.0,0.0,0,0,-0.0
21,0,0,0,0,0.0,0.0,0,0,-0.0
22,0,0,0,0,0.0,0.0,0,0,-0.0
23,0,0,0,0,0.0,0.0,0,0,-0.0
24,0,0,0,0,0.0,0.0,0,0,-0.0
25,0,0,0,0,0.0,0.0,0,0,-0.0
26,0,0,0,0,0.0,0.0,0,0,-0.0
27,0,0,0,0,0.0,0.0,0,0,-0.0
28,0,0,0,0,0.0,0.0,0,0,-0.0
29,0,0,0,0,0.0,0.0,0,0,-0.0
30,0,0,0,0,0.0,0.0,0,0,-0.0
31,0,0,0,0,0.0,0.0,0,0,-0.0
32,0,0,0,0,0.0,0.0,0,0,-0.0
33,0,0,0,0,0.0,0.0,0,0,-0.0
34,0,0,0,0,0.0,0.0,0,0,-0.0
35,0,0,0,0,0.0,0.0,0,0,-0.0
36,0,0,0,0,0.0,0.0,0,0,-0.0
37,0,0,0,0,0.0,0.0,0,0,-0.0
38,0,0,0,0,0.0,0.0,0,0,-0.0
39,0,0,0,0,0.0,0.0,0,0,-0.0
40,0,0,0,0,0.0,0.0,0,0,-0.0
41,0,0,0,0,0.0,0.0,0,0,-0.0
42,0,0,0,0,0.0,0.0,0,0,-0.0
43,0,0,0,0,0.0,0.0,0,0,-0.0
44,0,0,0,0,0.0,0.0,0,0,-0.0
45,0,0,0,0,0.0,0.0,0,0,-0.0
46,0,0,0,0,0.0,0.0,0,0,-0.0
47,0,0,0,0,0.0,0.0,0,0,-0.0
48,0,0,0,0,0.0,0.0,0,0,-0.0
49,1,0,0,0,0.0,0.0,0,0,-0.0
50,1,0,0,0,0.0,0.0,0,0,-0.0
51,1,0,0,0,0.0,0.0,0,0,-0.0
52,1,0,0,0,0.0,0.0,0,0,-0.0
53,1,0,0,0,0.0,0.0,0,0,-0.0
54,1,0,0,0,0.0,0.0,0,0,-0.0
55,1,0,0,0,0.0,0.0,0,0,-0.0
56,1,0,0,0,0.0,0.0,0,0,-0.0
57,1,0,0,0,0.0,0.0,0,0,-0.0
58,1,0,0,0,0.0,0.0,0,0,-0.0
59,1,0,0,0,0.0,0.0,0,0,-0.0
60,1,0,0,0,0.0,0.0,0,0,-0.0
61,1,0,0,0,0.0,0.0,0,0,-0.0
62,1,0,0,1,0.0,1.5,0,0,-0.015
63,1,0,0,0,0.0,0.0,0,0,-0.0
64,1,0,0,0,0.0,0.0,0,0,-0.0
65,1,0,0,0,0.0,0.0,0,0,-0.0
66,1,0,0,1,0.0,1.5,0,0,-0.015
67,1,0,0,2,0.0,3.5,0,0,-0.03
68,1,0,0,2,0.0,4.5,0,0,-0.03
69,1,0,0,3,0.0,7.0,0,0,-0.045
70,1,0,0,3,0.0,8.5,0,0,-0.045
71,1,0,0,3,0.0,10.0,0,0,-0.045
72,1,0,0,3,0.0,11.5,0,0,-0.045
73,1,0,0,3,0.0,13.0,0,0,-0.045
74,1,0,0,3,0.0,14.5,0,0,-0.045
75,1,0,0,3,0.0,16.0,0,0,-0.045
76,1,0,0,3,0.0,17.5,0,0,-0.045
77,1,0,0,3,0.0,19.0,0,0,-0.045
78,1,0,7,3,10.5,20.5,0,0,-0.115
79,1,0,7,3,14.0,22.0,0,0,-0.115
80,1,0,7,3,17.5,23.5,0,0,-0.115
81,1,0,7,4,21.0,26.5,0,0,-0.13
82,1,0,7,4,24.5,28.5,0,0,-0.13
83,1,0,7,4,28.0,30.5,0,0,-0.13
84,1,0,7,4,31.5,32.5,0,0,-0.13
85,1,0,7,4,35.0,34.5,0,0,-0.13
86,1,0,8,4,40.0,36.5,0,0,-0.14
87,1,0,8,4,44.0,38.5,0,0,-0.14
88,1,0,8,4,48.0,40.5,0,0,-0.14
89,1,0,10,5,55.0,44.0,0,0,-0.175
90,1,0,10,5,60.0,46.5,0,0,-0.175
